add-yield-c,12,100,2400,2944733,1226,0
add-yield-c,12,1000,24000,26253173,1093,0
add-yield-c,12,10000,240000,290851693,1211,0
add-m,1,10,20,115237,5761,0
add-m,1,100,200,161779,808,0
add-m,1,1000,2000,186926,93,0
add-m,1,10000,20000,759046,37,0
add-m,1,100000,200000,6581638,32,0
add-m,2,10,40,147740,3693,0
add-m,2,100,400,164413,411,0
add-m,2,1000,4000,396321,99,0
add-m,2,10000,40000,3857662,96,0
add-m,2,100000,400000,35460824,88,0
add-m,4,10,80,205013,2562,0
add-m,4,100,800,199924,249,0
add-m,4,1000,8000,1105002,138,0
add-m,4,10000,80000,14264497,178,0
add-m,4,100000,800000,101308145,126,0
add-m,8,10,160,300591,1878,0
add-m,8,100,1600,406004,253,0
add-m,8,1000,16000,3263380,203,0
add-m,8,10000,160000,30967087,193,0
add-m,8,100000,1600000,302179015,188,0
add-m,12,10,240,458811,1911,0
add-m,12,100,2400,464230,193,0
add-m,12,1000,24000,5008459,208,0
add-m,12,10000,240000,46806773,195,0
add-m,12,100000,2400000,453788833,189,0
add-s,1,10,20,138875,6943,0
add-s,1,100,200,124720,623,0
add-s,1,1000,2000,143507,71,0
add-s,1,10000,20000,398192,19,0
add-s,2,10,40,148314,3707,0
add-s,2,100,400,149093,372,0
add-s,2,1000,4000,274919,68,0
add-s,2,10000,40000,4814038,120,0
add-s,4,10,80,273457,3418,0
add-s,4,100,800,190328,237,0
add-s,4,1000,8000,3965323,495,0
add-s,4,10000,80000,39390401,492,0
add-s,8,10,160,352376,2202,0
add-s,8,100,1600,368242,230,0
add-s,8,1000,16000,9889463,618,0
add-s,8,10000,160000,131273739,820,0
add-s,12,10,240,511716,2132,0
add-s,12,100,2400,492398,205,0
add-s,12,1000,24000,18834637,784,0
add-s,12,10000,240000,250588071,1044,0
add-c,1,10,20,122314,6115,0
add-c,1,100,200,123277,616,0
add-c,1,1000,2000,160239,80,0
add-c,1,10000,20000,533468,26,0
add-c,2,10,40,155486,3887,0
add-c,2,100,400,135997,339,0
add-c,2,1000,4000,204186,51,0
add-c,2,10000,40000,2047159,51,0
add-c,4,10,80,211297,2641,0
add-c,4,100,800,206013,257,0
add-c,4,1000,8000,693621,86,0
add-c,4,10000,80000,7675765,95,0
add-c,8,10,160,340005,2125,0
add-c,8,100,1600,325595,203,0
add-c,8,1000,16000,1563556,97,0
add-c,8,10000,160000,18131741,113,0
add-c,12,10,240,429503,1789,0
add-c,12,100,2400,445474,185,0
add-c,12,1000,24000,2628616,109,0
add-c,12,10000,240000,26551178,110,0
